run_id,git_commit,arm,tier,arch,n_cores,workload,layer,sample_idx,l1_size_bytes,l1_assoc,l1_num_lines,l1_num_sets,l2_size_bytes,l2_assoc,l2_num_lines,l2_num_sets,line_size_bytes,cin_block,cout_block,weight_bytes,l1_mshrs,l1_tgts_per_mshr,l2_mshrs,l2_tgts_per_mshr,l1_demand_reserve,prefetch_policy,prefetch_distance,l1_latency,l1_ii,l2_latency,l2_to_l1_latency,l2_miss_latency,l2_banks,l2_ii,dram_ii,core_accept_ii,inclusion,policy,total_cycles,tick_base_total,stretch_cycles,l1_hits,l1_accesses,l1_hit_rate,l2_hits,l2_accesses,l2_hit_rate,dram_accesses,dram_bytes,stall_l1_slot,stall_l1_line,stall_l1_port,stall_l2_slot,stall_l2_line,stall_l2_port,stall_channel,stall_barrier,stall_total,core_stall_sum,fetch_latency_sum,hidden_latency,hidden_fraction,pf_issued,pf_timely,pf_late,pf_wasted,pf_dropped_array_hit,pf_dropped_matching,pf_dropped_no_slot,pf_dropped_targets_full,pf_dropped_reserve,pf_coverage,pf_coverage_ceiling,pf_budget_exhausted,pf_pollution_evictions,padding_fraction,port_bound_threshold,l1_mshr_occ_p50,l1_mshr_occ_p95,l1_mshr_occ_max,l2_mshr_occ_p50,l2_mshr_occ_p95,l2_mshr_occ_max,max_wait_depth,hits_downgraded_to_miss,events,events_per_cycle,sim_wall_seconds,distinct_addr_per_core_tile_p50,distinct_addr_per_core_tile_max
f67b1e18-9a06-4ddf-b302-9e36494b2d8f,adc154abe3cea812fb9fedff32206f3a879c9e26,cache,cache16,loas,16,resnet19_T4_all,layer_01_layer1_0_conv1,0,8192,8,256,32,1048576,16,32768,2048,32,2,16,1,16,20,20,12,1,none,0,0,1,10,0,100,1,1,1,1,non_inclusive,lru,3063752,205924,2857828,281280,3294784,0.085371,3009184,3013504,0.998566,2160,69120,0,0,0,0,0,44875697,483369,398950,45758016,45359066,45359066,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.990055,0,0,0.150000,91.462870,1,1,1,4,8,8,0,0,12620784,4.119388,1.795743,101,174
f67b1e18-9a06-4ddf-b302-9e36494b2d8f,adc154abe3cea812fb9fedff32206f3a879c9e26,cache,cache16,loas,16,resnet19_T4_all,layer_01_layer1_0_conv1,0,8192,8,256,32,1048576,16,32768,2048,32,2,16,1,16,20,20,12,1,next_burst,2,0,1,10,0,100,1,1,1,1,non_inclusive,lru,3045713,205924,2839789,360241,3294784,0.109337,33583,33647,0.998098,2160,69120,0,0,69248,0,0,44921390,7488,471266,45469392,44998126,132727810,87729684,0.660974,3262016,78961,2900896,0,16616,265543,0,0,0,0.904416,0.990055,0,0,0.150000,89.066324,2,3,3,7,18,20,13,0,15884084,5.215227,2.730309,101,174
f67b1e18-9a06-4ddf-b302-9e36494b2d8f,adc154abe3cea812fb9fedff32206f3a879c9e26,cache,cache16,loas,16,resnet19_T4_all,layer_01_layer1_0_conv1,0,8192,8,256,32,1048576,16,32768,2048,32,2,16,1,16,20,20,12,1,next_burst,4,0,1,10,0,100,1,1,1,1,non_inclusive,lru,3041512,205924,2835588,368787,3294784,0.111931,34958,35022,0.998173,2160,69120,0,0,46545,0,0,44855682,7488,492461,45402176,44909715,217838394,172928679,0.793839,3262016,87507,2890975,0,18002,265532,0,0,0,0.903999,0.990055,0,0,0.150000,88.806945,4,5,5,7,17,20,47,0,15884336,5.222513,2.826176,101,174
f67b1e18-9a06-4ddf-b302-9e36494b2d8f,adc154abe3cea812fb9fedff32206f3a879c9e26,cache,cache16,loas,16,resnet19_T4_all,layer_01_layer1_0_conv1,0,8192,8,256,32,1048576,16,32768,2048,32,2,16,1,16,20,20,12,1,next_burst,8,0,1,10,0,100,1,1,1,1,non_inclusive,lru,3039220,205924,2833296,363986,3294784,0.110473,38756,38820,0.998351,2160,69120,0,0,54809,0,0,44833160,7488,470047,45365504,44895457,382713047,337817590,0.882692,3262016,82738,2891978,0,22041,265259,0,0,0,0.902856,0.990055,0,0,0.150000,88.952660,8,9,9,8,17,20,114,0,15884448,5.226488,2.962596,101,174
b23be750-a8c5-4461-8488-5bf3023b606a,adc154abe3cea812fb9fedff32206f3a879c9e26,cache,cache16,loas,16,resnet19_T4_all,layer_01_layer1_0_conv1,0,8192,8,128,16,262144,16,4096,256,64,4,16,1,16,20,20,12,1,none,0,0,1,10,0,100,1,1,1,1,non_inclusive,lru,2521858,205924,2315934,819904,3294784,0.248849,2472576,2474880,0.999069,1152,73728,0,0,0,0,0,36241079,256306,590327,37087712,36497385,36497385,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.990055,0,0,0.203125,75.115091,1,1,1,4,8,8,0,0,11542528,4.576994,1.648389,101,174
b23be750-a8c5-4461-8488-5bf3023b606a,adc154abe3cea812fb9fedff32206f3a879c9e26,cache,cache16,loas,16,resnet19_T4_all,layer_01_layer1_0_conv1,0,8192,8,128,16,262144,16,4096,256,64,4,16,1,16,20,20,12,1,next_burst,2,0,1,10,0,100,1,1,1,1,non_inclusive,lru,2502992,205924,2297068,1045300,3294784,0.317259,32688,32752,0.998046,1152,73728,0,0,322007,0,0,35984812,7488,471549,36785856,36314307,95572904,59258597,0.620036,3262016,225396,2216732,0,32942,786946,0,0,0,0.741210,0.990055,0,0,0.203125,68.274096,2,3,3,9,19,20,8,0,14804632,5.914774,2.649768,101,174
b23be750-a8c5-4461-8488-5bf3023b606a,adc154abe3cea812fb9fedff32206f3a879c9e26,cache,cache16,loas,16,resnet19_T4_all,layer_01_layer1_0_conv1,0,8192,8,128,16,262144,16,4096,256,64,4,16,1,16,20,20,12,1,next_burst,4,0,1,10,0,100,1,1,1,1,non_inclusive,lru,2501479,205924,2295555,991397,3294784,0.300899,32688,32752,0.998046,1152,73728,0,0,222871,0,0,35974333,7488,556956,36761648,36204692,152830925,116626233,0.763106,3262016,171493,2270635,0,470,819418,0,0,0,0.741210,0.990055,0,0,0.203125,69.910106,3,5,5,10,18,20,38,0,14805590,5.918734,2.708404,101,174
b23be750-a8c5-4461-8488-5bf3023b606a,adc154abe3cea812fb9fedff32206f3a879c9e26,cache,cache16,loas,16,resnet19_T4_all,layer_01_layer1_0_conv1,0,8192,8,128,16,262144,16,4096,256,64,4,16,1,16,20,20,12,1,next_burst,8,0,1,10,0,100,1,1,1,1,non_inclusive,lru,2499627,205924,2293703,928447,3294784,0.281793,32688,32752,0.998046,1152,73728,0,0,150911,0,0,36093988,7488,479629,36732016,36252387,264548944,228296557,0.862965,3262016,108543,2333585,0,510,819378,0,0,0,0.741210,0.990055,0,0,0.203125,71.820702,6,8,9,10,18,20,90,0,14805608,5.923127,2.773852,101,174
b23be750-a8c5-4461-8488-5bf3023b606a,adc154abe3cea812fb9fedff32206f3a879c9e26,cache,cache16,loas,16,resnet19_T4_all,layer_01_layer1_0_conv1,0,8192,8,128,16,524288,16,8192,512,64,4,16,1,16,20,20,12,1,none,0,0,1,10,0,100,1,1,1,1,non_inclusive,lru,2521858,205924,2315934,819904,3294784,0.248849,2472576,2474880,0.999069,1152,73728,0,0,0,0,0,36241079,256306,590327,37087712,36497385,36497385,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.990055,0,0,0.203125,75.115091,1,1,1,4,8,8,0,0,11542528,4.576994,1.656646,101,174
b23be750-a8c5-4461-8488-5bf3023b606a,adc154abe3cea812fb9fedff32206f3a879c9e26,cache,cache16,loas,16,resnet19_T4_all,layer_01_layer1_0_conv1,0,8192,8,128,16,524288,16,8192,512,64,4,16,1,16,20,20,12,1,next_burst,2,0,1,10,0,100,1,1,1,1,non_inclusive,lru,2502992,205924,2297068,1045300,3294784,0.317259,32688,32752,0.998046,1152,73728,0,0,322007,0,0,35984812,7488,471549,36785856,36314307,95572904,59258597,0.620036,3262016,225396,2216732,0,32942,786946,0,0,0,0.741210,0.990055,0,0,0.203125,68.274096,2,3,3,9,19,20,8,0,14804632,5.914774,2.640363,101,174
b23be750-a8c5-4461-8488-5bf3023b606a,adc154abe3cea812fb9fedff32206f3a879c9e26,cache,cache16,loas,16,resnet19_T4_all,layer_01_layer1_0_conv1,0,8192,8,128,16,524288,16,8192,512,64,4,16,1,16,20,20,12,1,next_burst,4,0,1,10,0,100,1,1,1,1,non_inclusive,lru,2501479,205924,2295555,991397,3294784,0.300899,32688,32752,0.998046,1152,73728,0,0,222871,0,0,35974333,7488,556956,36761648,36204692,152830925,116626233,0.763106,3262016,171493,2270635,0,470,819418,0,0,0,0.741210,0.990055,0,0,0.203125,69.910106,3,5,5,10,18,20,38,0,14805590,5.918734,2.701699,101,174
b23be750-a8c5-4461-8488-5bf3023b606a,adc154abe3cea812fb9fedff32206f3a879c9e26,cache,cache16,loas,16,resnet19_T4_all,layer_01_layer1_0_conv1,0,8192,8,128,16,524288,16,8192,512,64,4,16,1,16,20,20,12,1,next_burst,8,0,1,10,0,100,1,1,1,1,non_inclusive,lru,2499627,205924,2293703,928447,3294784,0.281793,32688,32752,0.998046,1152,73728,0,0,150911,0,0,36093988,7488,479629,36732016,36252387,264548944,228296557,0.862965,3262016,108543,2333585,0,510,819378,0,0,0,0.741210,0.990055,0,0,0.203125,71.820702,6,8,9,10,18,20,90,0,14805608,5.923127,2.760318,101,174
b23be750-a8c5-4461-8488-5bf3023b606a,adc154abe3cea812fb9fedff32206f3a879c9e26,cache,cache16,loas,16,resnet19_T4_all,layer_01_layer1_0_conv1,0,8192,8,128,16,1048576,16,16384,1024,64,4,16,1,16,20,20,12,1,none,0,0,1,10,0,100,1,1,1,1,non_inclusive,lru,2521858,205924,2315934,819904,3294784,0.248849,2472576,2474880,0.999069,1152,73728,0,0,0,0,0,36241079,256306,590327,37087712,36497385,36497385,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.990055,0,0,0.203125,75.115091,1,1,1,4,8,8,0,0,11542528,4.576994,1.644479,101,174
b23be750-a8c5-4461-8488-5bf3023b606a,adc154abe3cea812fb9fedff32206f3a879c9e26,cache,cache16,loas,16,resnet19_T4_all,layer_01_layer1_0_conv1,0,8192,8,128,16,1048576,16,16384,1024,64,4,16,1,16,20,20,12,1,next_burst,2,0,1,10,0,100,1,1,1,1,non_inclusive,lru,2502992,205924,2297068,1045300,3294784,0.317259,32688,32752,0.998046,1152,73728,0,0,322007,0,0,35984812,7488,471549,36785856,36314307,95572904,59258597,0.620036,3262016,225396,2216732,0,32942,786946,0,0,0,0.741210,0.990055,0,0,0.203125,68.274096,2,3,3,9,19,20,8,0,14804632,5.914774,2.644809,101,174
b23be750-a8c5-4461-8488-5bf3023b606a,adc154abe3cea812fb9fedff32206f3a879c9e26,cache,cache16,loas,16,resnet19_T4_all,layer_01_layer1_0_conv1,0,8192,8,128,16,1048576,16,16384,1024,64,4,16,1,16,20,20,12,1,next_burst,4,0,1,10,0,100,1,1,1,1,non_inclusive,lru,2501479,205924,2295555,991397,3294784,0.300899,32688,32752,0.998046,1152,73728,0,0,222871,0,0,35974333,7488,556956,36761648,36204692,152830925,116626233,0.763106,3262016,171493,2270635,0,470,819418,0,0,0,0.741210,0.990055,0,0,0.203125,69.910106,3,5,5,10,18,20,38,0,14805590,5.918734,2.688141,101,174
