arch,workload,layer,cache_type,associativity,size_bytes,inner_dim,line_size,sample_idx,hit_rate
prosperity,resnet19_T4_all,layer_12_layer2_1_conv2,direct_mapped,0,8192,kh,16,0,0.240286
prosperity,resnet19_T4_all,layer_12_layer2_1_conv2,direct_mapped,0,16384,kh,16,0,0.240286
prosperity,resnet19_T4_all,layer_12_layer2_1_conv2,direct_mapped,0,32768,kh,16,0,0.240286
prosperity,resnet19_T4_all,layer_12_layer2_1_conv2,direct_mapped,0,65536,kh,16,0,0.240286
prosperity,resnet19_T4_all,layer_12_layer2_1_conv2,set_associative,4,8192,kh,16,0,0.937650
prosperity,resnet19_T4_all,layer_12_layer2_1_conv2,set_associative,4,16384,kh,16,0,0.937650
prosperity,resnet19_T4_all,layer_12_layer2_1_conv2,set_associative,4,32768,kh,16,0,0.937654
prosperity,resnet19_T4_all,layer_12_layer2_1_conv2,set_associative,4,65536,kh,16,0,0.937654
prosperity,resnet19_T4_all,layer_12_layer2_1_conv2,set_associative,16,8192,kh,16,0,0.937650
prosperity,resnet19_T4_all,layer_12_layer2_1_conv2,set_associative,16,16384,kh,16,0,0.937650
prosperity,resnet19_T4_all,layer_12_layer2_1_conv2,set_associative,16,32768,kh,16,0,0.937650
prosperity,resnet19_T4_all,layer_12_layer2_1_conv2,set_associative,16,65536,kh,16,0,0.937650
prosperity,resnet19_T4_all,layer_12_layer2_1_conv2,set_associative,32,8192,kh,16,0,0.937650
prosperity,resnet19_T4_all,layer_12_layer2_1_conv2,set_associative,32,16384,kh,16,0,0.937650
prosperity,resnet19_T4_all,layer_12_layer2_1_conv2,set_associative,32,32768,kh,16,0,0.937650
prosperity,resnet19_T4_all,layer_12_layer2_1_conv2,set_associative,32,65536,kh,16,0,0.937650
prosperity,resnet19_T4_all,layer_12_layer2_1_conv2,direct_mapped,0,8192,kw,16,0,0.440416
prosperity,resnet19_T4_all,layer_12_layer2_1_conv2,direct_mapped,0,16384,kw,16,0,0.440416
prosperity,resnet19_T4_all,layer_12_layer2_1_conv2,direct_mapped,0,32768,kw,16,0,0.440416
prosperity,resnet19_T4_all,layer_12_layer2_1_conv2,direct_mapped,0,65536,kw,16,0,0.440416
prosperity,resnet19_T4_all,layer_12_layer2_1_conv2,set_associative,4,8192,kw,16,0,0.937731
prosperity,resnet19_T4_all,layer_12_layer2_1_conv2,set_associative,4,16384,kw,16,0,0.937731
prosperity,resnet19_T4_all,layer_12_layer2_1_conv2,set_associative,4,32768,kw,16,0,0.937735
