arch,workload,layer,cache_type,associativity,size_bytes,inner_dim,line_size,sample_idx,hit_rate
gustavsnn,resnet19_T4_all,layer_17_layer3_0_shortcut_0,set_associative,4,65536,kh,32,0,0.001405
gustavsnn,resnet19_T4_all,layer_17_layer3_0_shortcut_0,set_associative,16,8192,kh,32,0,0.000000
gustavsnn,resnet19_T4_all,layer_17_layer3_0_shortcut_0,set_associative,16,16384,kh,32,0,0.000000
gustavsnn,resnet19_T4_all,layer_17_layer3_0_shortcut_0,set_associative,16,32768,kh,32,0,0.000000
gustavsnn,resnet19_T4_all,layer_17_layer3_0_shortcut_0,set_associative,16,65536,kh,32,0,0.000000
gustavsnn,resnet19_T4_all,layer_17_layer3_0_shortcut_0,set_associative,32,8192,kh,32,0,0.000000
gustavsnn,resnet19_T4_all,layer_17_layer3_0_shortcut_0,set_associative,32,16384,kh,32,0,0.000000
gustavsnn,resnet19_T4_all,layer_17_layer3_0_shortcut_0,set_associative,32,32768,kh,32,0,0.000000
gustavsnn,resnet19_T4_all,layer_17_layer3_0_shortcut_0,set_associative,32,65536,kh,32,0,0.000000
gustavsnn,resnet19_T4_all,layer_17_layer3_0_shortcut_0,direct_mapped,0,8192,kw,32,0,0.000000
gustavsnn,resnet19_T4_all,layer_17_layer3_0_shortcut_0,direct_mapped,0,16384,kw,32,0,0.000832
gustavsnn,resnet19_T4_all,layer_17_layer3_0_shortcut_0,direct_mapped,0,32768,kw,32,0,0.000832
gustavsnn,resnet19_T4_all,layer_17_layer3_0_shortcut_0,direct_mapped,0,65536,kw,32,0,0.000832
gustavsnn,resnet19_T4_all,layer_17_layer3_0_shortcut_0,set_associative,4,8192,kw,32,0,0.000000
gustavsnn,resnet19_T4_all,layer_17_layer3_0_shortcut_0,set_associative,4,16384,kw,32,0,0.000000
gustavsnn,resnet19_T4_all,layer_17_layer3_0_shortcut_0,set_associative,4,32768,kw,32,0,0.000618
gustavsnn,resnet19_T4_all,layer_17_layer3_0_shortcut_0,set_associative,4,65536,kw,32,0,0.008395
gustavsnn,resnet19_T4_all,layer_17_layer3_0_shortcut_0,set_associative,16,8192,kw,32,0,0.000000
