arch,workload,layer,cache_type,associativity,size_bytes,inner_dim,line_size,sample_idx,hit_rate
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,direct_mapped,0,32768,cout,16,0,0.875987
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,direct_mapped,0,65536,cout,16,0,0.875987
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,4,8192,cout,16,0,0.906443
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,4,16384,cout,16,0,0.907796
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,4,32768,cout,16,0,0.907796
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,4,65536,cout,16,0,0.907796
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,16,8192,cout,16,0,0.904014
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,16,16384,cout,16,0,0.988194
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,16,32768,cout,16,0,0.998911
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,16,65536,cout,16,0,0.998911
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,32,8192,cout,16,0,0.903071
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,32,16384,cout,16,0,0.988684
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,32,32768,cout,16,0,0.998911
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,32,65536,cout,16,0,0.998911
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,direct_mapped,0,8192,kh,32,0,0.001134
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,direct_mapped,0,16384,kh,32,0,0.001134
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,direct_mapped,0,32768,kh,32,0,0.001134
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,direct_mapped,0,65536,kh,32,0,0.001134
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,4,8192,kh,32,0,0.000019
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,4,16384,kh,32,0,0.004865
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,4,32768,kh,32,0,0.013526
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,4,65536,kh,32,0,0.013526
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,16,8192,kh,32,0,0.000000
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,16,16384,kh,32,0,0.000000
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,16,32768,kh,32,0,0.058340
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,16,65536,kh,32,0,0.726212
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,32,8192,kh,32,0,0.000000
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,32,16384,kh,32,0,0.000000
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,32,32768,kh,32,0,0.036204
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,32,65536,kh,32,0,0.788376
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,direct_mapped,0,8192,kw,32,0,0.014129
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,direct_mapped,0,16384,kw,32,0,0.014129
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,direct_mapped,0,32768,kw,32,0,0.014129
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,direct_mapped,0,65536,kw,32,0,0.014129
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,4,8192,kw,32,0,0.025164
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,4,16384,kw,32,0,0.349231
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,4,32768,kw,32,0,0.364660
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,4,65536,kw,32,0,0.364660
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,16,8192,kw,32,0,0.001210
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,16,16384,kw,32,0,0.358347
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,16,32768,kw,32,0,0.649469
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,16,65536,kw,32,0,0.861442
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,32,8192,kw,32,0,0.000000
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,32,16384,kw,32,0,0.365500
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,32,32768,kw,32,0,0.644510
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,32,65536,kw,32,0,0.879148
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,direct_mapped,0,8192,cin,32,0,0.933684
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,direct_mapped,0,16384,cin,32,0,0.933684
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,direct_mapped,0,32768,cin,32,0,0.933684
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,direct_mapped,0,65536,cin,32,0,0.933684
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,4,8192,cin,32,0,0.935593
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,4,16384,cin,32,0,0.935593
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,4,32768,cin,32,0,0.935593
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,4,65536,cin,32,0,0.935593
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,16,8192,cin,32,0,0.941110
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,16,16384,cin,32,0,0.941110
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,16,32768,cin,32,0,0.941110
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,16,65536,cin,32,0,0.941110
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,32,8192,cin,32,0,0.938289
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,32,16384,cin,32,0,0.976942
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,32,32768,cin,32,0,0.976942
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,32,65536,cin,32,0,0.976942
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,direct_mapped,0,8192,cout,32,0,0.876001
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,direct_mapped,0,16384,cout,32,0,0.876001
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,direct_mapped,0,32768,cout,32,0,0.876001
gustavsnn,resnet19_T4_all,layer_05_layer1_1_conv2,direct_mapped,0,65536,cout,32,0,0.876001
