arch,workload,layer,cache_type,associativity,size_bytes,inner_dim,line_size,sample_idx,hit_rate
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,4,8192,cout,16,0,0.959985
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,4,16384,cout,16,0,0.959985
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,4,32768,cout,16,0,0.959985
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,4,65536,cout,16,0,0.959993
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,16,8192,cout,16,0,0.978292
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,16,16384,cout,16,0,0.978292
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,16,32768,cout,16,0,0.978292
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,16,65536,cout,16,0,0.978292
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,32,8192,cout,16,0,0.978292
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,32,16384,cout,16,0,0.978292
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,32,32768,cout,16,0,0.978292
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,32,65536,cout,16,0,0.978292
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,direct_mapped,0,8192,kh,32,0,0.204737
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,direct_mapped,0,16384,kh,32,0,0.204737
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,direct_mapped,0,32768,kh,32,0,0.204740
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,direct_mapped,0,65536,kh,32,0,0.204740
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,4,8192,kh,32,0,0.565471
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,4,16384,kh,32,0,0.879245
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,4,32768,kh,32,0,0.879245
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,4,65536,kh,32,0,0.879245
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,16,8192,kh,32,0,0.565471
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,16,16384,kh,32,0,0.879245
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,16,32768,kh,32,0,0.879245
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,16,65536,kh,32,0,0.879245
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,32,8192,kh,32,0,0.565471
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,32,16384,kh,32,0,0.879245
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,32,32768,kh,32,0,0.879245
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,32,65536,kh,32,0,0.879245
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,direct_mapped,0,8192,kw,32,0,0.414737
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,direct_mapped,0,16384,kw,32,0,0.414737
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,direct_mapped,0,32768,kw,32,0,0.414740
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,direct_mapped,0,65536,kw,32,0,0.414740
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,4,8192,kw,32,0,0.651166
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,4,16384,kw,32,0,0.879918
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,4,32768,kw,32,0,0.879918
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,4,65536,kw,32,0,0.879918
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,16,8192,kw,32,0,0.651166
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,16,16384,kw,32,0,0.879918
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,16,32768,kw,32,0,0.879918
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,16,65536,kw,32,0,0.879918
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,32,8192,kw,32,0,0.651166
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,32,16384,kw,32,0,0.879918
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,32,32768,kw,32,0,0.879918
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,32,65536,kw,32,0,0.879918
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,direct_mapped,0,8192,cin,32,0,0.034743
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,direct_mapped,0,16384,cin,32,0,0.034743
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,direct_mapped,0,32768,cin,32,0,0.034743
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,direct_mapped,0,65536,cin,32,0,0.034743
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,4,8192,cin,32,0,0.111852
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,4,16384,cin,32,0,0.333507
